order_id,order_date,customer_name,product_name,quantity,unit_price,updated_at
1201,2026-01-24,Shin,Webcam,3,44000,2026-01-24 16:03:37
1202,2026-05-24,Song,Router,1,56000,2026-05-24 13:55:42
1203,2026-04-19,Lee,Printer,5,150000,2026-04-19 13:06:36
1204,2026-05-10,Cho,Headset,4,59000,2026-05-10 09:22:54
1205,2026-05-23,Oh,Webcam,3,47000,2026-05-23 11:51:27
1206,2026-05-24,Jeon,RAM 16GB,5,63000,2026-05-24 17:59:42
1207,2026-06-27,Jang,Keyboard,2,30000,2026-06-27 19:48:19
1208,2026-03-28,Oh,Keyboard,2,29000,2026-03-28 17:42:25
1209,2026-01-18,Jung,Keyboard,1,35000,2026-01-18 16:13:24
1210,2026-04-18,Kwon,Router,2,55000,2026-04-18 12:46:20
1211,2026-05-26,Jeon,Monitor,1,179000,2026-05-26 10:48:39
1212,2026-01-13,Park,External SSD,4,95000,2026-01-13 14:31:38
1213,2026-04-24,Shin,External SSD,2,92000,2026-04-24 09:22:27
1214,2026-01-29,Lim,Graphics Card,4,502000,2026-01-29 18:19:02
1215,2026-02-26,Seo,RAM 16GB,1,63000,2026-02-26 11:19:13
1216,2026-02-05,Jang,Printer,3,148000,2026-02-05 08:31:47
1217,2026-04-21,Kang,Headset,4,62000,2026-04-21 19:14:32
1218,2026-05-24,Oh,Monitor,4,185000,2026-05-24 08:27:01
1219,2026-04-28,Park,Router,5,56000,2026-04-28 17:25:45
1220,2026-06-13,Shin,Printer,1,151000,2026-06-13 08:20:10
1221,2026-06-08,Kwon,Speaker,1,41000,2026-06-08 09:15:27
1222,2026-05-31,Seo,Power Strip,1,11000,2026-05-31 12:47:21
1223,2026-02-26,Han,USB Hub,1,14000,2026-02-26 18:07:33
1224,2026-05-11,Cho,Speaker,3,45000,2026-05-11 18:52:09
1225,2026-03-02,Choi,Headset,3,59000,2026-03-02 10:38:09
1226,2026-06-17,Park,USB Hub,4,13000,2026-06-17 20:36:48
1227,2026-05-29,Kwon,Graphics Card,5,500000,2026-05-29 18:20:09
1228,2026-04-23,Park,Charger,4,23000,2026-04-23 12:50:17
1229,2026-06-01,Lee,Speaker,5,38000,2026-06-01 12:29:28
1230,2026-01-10,Lee,Speaker,3,38000,2026-01-10 18:55:54
1231,2026-01-24,Jeon,RAM 16GB,5,66000,2026-01-24 15:37:35
1232,2026-07-09,Lee,Tablet,5,455000,2026-07-09 11:20:38
1233,2026-05-02,Ahn,Headset,1,61000,2026-05-02 09:51:57
1234,2026-03-29,Park,Power Strip,2,8000,2026-03-29 11:45:28
1235,2026-04-23,Ahn,Power Strip,5,9000,2026-04-23 13:23:58
1236,2026-03-14,Seo,Desk,3,305000,2026-03-14 17:03:50
1237,2026-06-11,Han,Monitor,3,178000,2026-06-11 16:43:24
1238,2026-03-14,Jang,RAM 16GB,2,65000,2026-03-14 09:37:42
1239,2026-02-06,Oh,Printer,4,149000,2026-02-06 17:45:05
1240,2026-03-21,Song,Chair,3,219000,2026-03-21 18:44:53
1241,2026-07-09,Ahn,Monitor,4,182000,2026-07-09 13:01:23
1242,2026-03-21,Kang,Laptop Stand,3,26000,2026-03-21 11:14:08
1243,2026-02-09,Park,Printer,1,152000,2026-02-09 20:34:53
1244,2026-07-09,Ahn,Mouse,3,17000,2026-07-09 10:38:24
